latitude,longitude,course_count,course_list
42.7,-82.85,24,
42.75,-82.85,21,
42.8,-82.85,19,
42.85,-82.85,14,
42.9,-82.85,8,
42.95,-82.85,3,
43,-82.85,1,
43.05,-82.85,0,
42,-82.8,0,
42.05,-82.8,0,
42.1,-82.8,0,
42.15,-82.8,0,
42.2,-82.8,1,
42.25,-82.8,4,
42.3,-82.8,4,
42.35,-82.8,4,
42.4,-82.8,9,
42.45,-82.8,13,
42.5,-82.8,17,
42.55,-82.8,19,
42.6,-82.8,17,
42.65,-82.8,18,
42.7,-82.8,18,
42.75,-82.8,16,
42.8,-82.8,15,
42.85,-82.8,13,
42.9,-82.8,5,
42.95,-82.8,1,
43,-82.8,0,
43.05,-82.8,0,
42,-82.75,0,
42.05,-82.75,0,
42.1,-82.75,0,
42.15,-82.75,0,
42.2,-82.75,1,
42.25,-82.75,3,
42.3,-82.75,4,
42.35,-82.75,4,
42.4,-82.75,7,
42.45,-82.75,10,
42.5,-82.75,16,
42.55,-82.75,17,
42.6,-82.75,17,
42.65,-82.75,15,
42.7,-82.75,15,
42.75,-82.75,13,
42.8,-82.75,10,
42.85,-82.75,7,
42.9,-82.75,3,
42.95,-82.75,0,
43,-82.75,0,
43.05,-82.75,0,
42,-82.7,0,
42.05,-82.7,0,
42.1,-82.7,0,
42.15,-82.7,0,
42.2,-82.7,0,
42.25,-82.7,1,
42.3,-82.7,3,
42.35,-82.7,4,
42.4,-82.7,4,
42.45,-82.7,7,
42.5,-82.7,12,
42.55,-82.7,13,
42.6,-82.7,12,
42.65,-82.7,11,
42.7,-82.7,11,
42.75,-82.7,10,
42.8,-82.7,9,
42.85,-82.7,3,
42.9,-82.7,2,
42.95,-82.7,0,
43,-82.7,0,
43.05,-82.7,0,
